NAME,POPULATION,CITY,STATE,COUNTY,COUNTYFIPS,INST_SIZE,TOT_ENROLL,TOT_EMP
NEW YORK INSTITUTE OF TECHNOLOGY,9104,OLD WESTBURY,NY,"NASSAU",36059,3,7230,1874
DESALES UNIVERSITY,4120,CENTER VALLEY,PA,LEHIGH,42077,2,3460,660
STONY BROOK UNIVERSITY,32125,STONY BROOK,NY,SUFFOLK,36103,5,26814,5311
BARCLAY COLLEGE,288,HAVILAND,KS,KIOWA,20097,1,225,63
PONTIFICAL JOHN PAUL II INSTITUTE FOR STUDIES ON MARRIAGE AND FAMILY,83,WASHINGTON,DC,DISTRICT OF COLUMBIA,11001,1,62,21
CLEVELAND UNIVERSITY-KANSAS CITY,729,OVERLAND PARK,KS,JOHNSON,20091,1,590,139
CENTRAL PENN COLLEGE,1229,SUMMERDALE,PA,CUMBERLAND,42041,2,1054,175
CHATHAM UNIVERSITY,3065,PITTSBURGH,PA,ALLEGHENY,42003,2,2437,628
PALM BEACH ATLANTIC UNIVERSITY,4393,WEST PALM BEACH,FL,PALM BEACH,12099,2,3691,702
MICHIGAN STATE UNIVERSITY,62751,EAST LANSING,MI,INGHAM,26065,5,49809,12942
UNIVERSITY OF PITTSBURGH-PITTSBURGH CAMPUS,46329,PITTSBURGH,PA,ALLEGHENY,42003,5,32686,13643
THE UNIVERSITY OF TENNESSEE-CHATTANOOGA,13654,CHATTANOOGA,TN,HAMILTON,47065,4,11651,2003
SPARTAN COLLEGE OF AERONAUTICS AND TECHNOLOGY,951,TULSA,OK,TULSA,40143,1,673,278
CLEVELAND INSTITUTE OF ART,868,CLEVELAND,OH,CUYAHOGA,39035,1,645,223
BOISE BIBLE COLLEGE,120,BOISE,ID,ADA,16001,1,95,25
UNIVERSITY OF SAN FRANCISCO,12783,SAN FRANCISCO,CA,SAN FRANCISCO,06075,4,10636,2147
MAINE MARITIME ACADEMY,1328,CASTINE,ME,HANCOCK,23009,2,1006,322
BENTLEY UNIVERSITY,6420,WALTHAM,MA,MIDDLESEX,25017,3,5314,1106
LAWRENCE TECHNOLOGICAL UNIVERSITY,3498,SOUTHFIELD,MI,OAKLAND,26125,2,2848,650
TORAH TEMIMAH TALMUDICAL SEMINARY,32,BROOKLYN,NY,KINGS,36047,1,25,7
YESHIVAS NOVOMINSK,173,BROOKLYN,NY,KINGS,36047,1,157,16
FLORIDA GULF COAST UNIVERSITY,16732,FORT MYERS,FL,LEE,12071,4,14977,1755
MAPLE SPRINGS BAPTIST BIBLE COLLEGE AND SEMINARY,120,CAPITOL HEIGHTS,MD,PRINCE GEORGE'S,24033,1,87,33
MANHATTAN CHRISTIAN COLLEGE,258,MANHATTAN,KS,RILEY,20161,1,171,87
RIVIER UNIVERSITY,2897,"NASHUA",NH,HILLSBOROUGH,33011,2,2332,565
ST FRANCIS COLLEGE,3193,BROOKLYN HEIGHTS,NY,KINGS,36047,2,2596,597
SUNY COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY,2684,SYRACUSE,NY,ONONDAGA,36067,2,2209,475
MINNESOTA STATE UNIVERSITY-MANKATO,15941,MANKATO,MN,BLUE EARTH,27013,4,14325,1616
D'YOUVILLE COLLEGE,3694,BUFFALO,NY,ERIE,36029,2,3048,646
SARAH LAWRENCE COLLEGE,2321,BRONXVILLE,NY,WESTCHESTER,36119,2,1670,651
COLLEGE OF SAINT MARY,1330,OMAHA,NE,DOUGLAS,31055,2,1050,280
BYZANTINE CATHOLIC SEMINARY OF SAINTS CYRIL AND METHODIUS,65,PITTSBURGH,PA,ALLEGHENY,42003,1,36,29
OKLAHOMA STATE UNIVERSITY-MAIN CAMPUS,29724,STILLWATER,OK,PAYNE,40119,5,24079,5645
WILLAMETTE UNIVERSITY,2864,SALEM,OR,MARION,41047,2,2179,685
HUSTON-TILLOTSON UNIVERSITY,1285,AUSTIN,TX,TRAVIS,48453,2,1121,164
LEHIGH UNIVERSITY,8835,BETHLEHEM,PA,NORTHAMPTON,42095,3,6953,1882
APPALACHIAN BIBLE COLLEGE,307,MOUNT HOPE,WV,RALEIGH,54081,1,227,80
UNIVERSITY OF COLORADO DENVER/ANSCHUTZ MEDICAL CAMPUS,37832,DENVER,CO,ADAMS,08001,5,24910,12922
LUTHER COLLEGE,2509,DECORAH,IA,WINNESHIEK,19191,2,1951,558
ILLINOIS WESLEYAN UNIVERSITY,2160,BLOOMINGTON,IL,MCLEAN,17113,2,1629,531
UNIVERSITY OF WISCONSIN-SUPERIOR,3008,SUPERIOR,WI,DOUGLAS,55031,2,2614,394
BLUEFIELD STATE COLLEGE,1434,BLUEFIELD,WV,MERCER,54055,2,1241,193
GRAND CANYON UNIVERSITY,102977,PHOENIX,AZ,MARICOPA,04013,5,96211,6766
POINT LOMA NAZARENE UNIVERSITY,5516,SAN DIEGO,CA,SAN DIEGO,06073,2,4567,949
AUGUSTANA COLLEGE,3245,ROCK ISLAND,IL,ROCK ISLAND,17161,2,2546,699
CHRISTOPHER NEWPORT UNIVERSITY,6260,NEWPORT NEWS,VA,NEWPORT NEWS (CITY),51700,2,4919,1341
HUNTINGTON UNIVERSITY,1673,HUNTINGTON,IN,HUNTINGTON,18069,2,1384,289
YESHIVA KARLIN STOLIN,143,BROOKLYN,NY,KINGS,36047,1,129,14
ELIZABETH CITY STATE UNIVERSITY,2145,ELIZABETH CITY,NC,PASQUOTANK,37139,2,1769,376
RANDALL UNIVERSITY,390,MOORE,OK,CLEVELAND,40027,1,331,59
LOUISIANA STATE UNIVERSITY AND AGRICULTURAL & MECHANICAL COLLEGE,38368,BATON ROUGE,LA,EAST BATON ROUGE,22033,5,31756,6612
MAINE COLLEGE OF ART,689,PORTLAND,ME,CUMBERLAND,23005,1,497,192
OZARK CHRISTIAN COLLEGE,826,JOPLIN,MO,JASPER,29097,1,675,151
MILLSAPS COLLEGE,1113,JACKSON,MS,HINDS,28049,1,820,293
DAVIDSON COLLEGE,2750,DAVIDSON,NC,MECKLENBURG,37119,2,1837,913
WORLD MISSION UNIVERSITY,447,LOS ANGELES,CA,LOS ANGELES,06037,1,421,26
PACIFICA GRADUATE INSTITUTE,1135,CARPINTERIA,CA,SANTA BARBARA,06083,1,829,306
SOFIA UNIVERSITY,1431,PALO ALTO,CA,SANTA CLARA,06085,2,1349,82
PLATT COLLEGE-AURORA,312,AURORA,CO,ARAPAHOE,08005,1,248,64
REGIS COLLEGE,3883,WESTON,MA,MIDDLESEX,25017,2,3194,689
MONTCLAIR STATE UNIVERSITY,24457,MONTCLAIR,NJ,PASSAIC,34031,5,21007,3450
ROWAN UNIVERSITY,23789,GLASSBORO,NJ,GLOUCESTER,34015,4,19618,4171
COLLEGE OF SAINT ELIZABETH,1630,MORRISTOWN,NJ,MORRIS,34027,2,1287,343
EDP UNIVERSITY OF PUERTO RICO-HUMACAO,198,HUMACAO,PR,HUMACAO,72069,1,182,16
UNIVERSITY OF WISCONSIN-PARKSIDE FLEX,70,KENOSHA,WI,KENOSHA,55059,1,70,-999
COLLEGE OF THE OZARKS,1964,POINT LOOKOUT,MO,TANEY,29213,2,1546,418
HILBERT COLLEGE,1000,HAMBURG,NY,ERIE,36029,1,766,234
GRATZ COLLEGE,476,MELROSE PARK,PA,MONTGOMERY,42091,1,425,51
UNIVERSIDAD ANA G. MENDEZ-CAROLINA CAMPUS,10883,CAROLINA,PR,CAROLINA,72031,3,9676,1207
THE ART INSTITUTE OF AUSTIN,492,AUSTIN,TX,TRAVIS,48453,1,385,107
CLAREMONT LINCOLN UNIVERSITY,355,CLAREMONT,CA,LOS ANGELES,06037,1,254,101
WASHINGTON COLLEGE,1764,CHESTERTOWN,MD,KENT,24029,2,1288,476
"NATIONAL LOUIS UNIVERSITY",8099,CHICAGO,IL,COOK,17031,3,7005,1094
COPPIN STATE UNIVERSITY,3326,BALTIMORE,MD,BALTIMORE (CITY),24510,2,2724,602
"UNIVERSITY OF MARYLAND, BALTIMORE",14032,BALTIMORE,MD,BALTIMORE (CITY),24510,3,6827,7205
CUNY BERNARD M BARUCH COLLEGE,21146,NEW YORK,NY,NEW YORK,36061,4,18679,2467
UNIVERSITY OF MARY WASHINGTON,5451,FREDERICKSBURG,VA,FREDERICKSBURG (CITY),51630,2,4488,963
DICKINSON STATE UNIVERSITY,1614,DICKINSON,ND,STARK,38089,2,1350,264
"NATIONAL UNIVERSITY OF HEALTH SCIENCES",809,LOMBARD,IL,DUPAGE,17043,1,590,219
CONCORDIA UNIVERSITY-WISCONSIN,6905,MEQUON,WI,OZAUKEE,55089,3,5777,1128
FAIRFIELD UNIVERSITY,6540,FAIRFIELD,CT,FAIRFIELD,09001,3,5349,1191
CUNY CITY COLLEGE,18763,NEW YORK,NY,NEW YORK,36061,4,15816,2947
DEVRY UNIVERSITY-NEVADA,84,HENDERSON,NV,CLARK,32003,1,67,17
DEVRY UNIVERSITY-GEORGIA,1142,DECATUR,GA,DEKALB,13089,2,1037,105
BAPTIST MEMORIAL COLLEGE OF HEALTH SCIENCES,1142,MEMPHIS,TN,SHELBY,47157,1,989,153
