ENSEMBL	X1_CTR_BC_2	X2_TGF_BC_4	X3_IR_BC_5	X4_CTR_BC_6	X5_TGF_BC_7	X6_IR_BC_12	X7_CTR_BC_13	X8_TGF_BC_14	X9_IR_BC_15
ENSG00000010327	0	6	5	2	5	0	0	1	2
ENSG00000010361	252	314	151	298	257	180	252	302	173
ENSG00000010379	4	1	3	0	0	0	0	1	3
ENSG00000010404	7630	5010	6514	7666	4785	6389	6821	4854	7354
ENSG00000010438	16	3	6	14	3	8	8	14	11
ENSG00000010539	298	342	289	320	334	261	307	318	370
ENSG00000010610	39	27	31	29	16	35	15	30	23
ENSG00000010626	168	157	178	222	186	127	122	178	194
ENSG00000010671	18	27	3	22	21	15	11	9	15
ENSG00000010704	960	796	1098	991	858	1057	854	796	1227
ENSG00000010803	1153	1457	719	1195	1285	781	1014	1433	880
ENSG00000010810	3076	2767	2459	3344	2617	2180	2773	2636	2663
ENSG00000010818	2032	2400	1614	2167	2285	1670	1854	2125	1803
ENSG00000010932	40	44	26	30	38	42	32	39	29
ENSG00000011007	2822	2706	3258	2806	2347	2887	2349	2362	3543
ENSG00000011009	1039	1125	916	999	944	775	739	1209	1116
ENSG00000011021	984	1186	702	1013	920	659	847	1081	791
ENSG00000011028	19928	24844	15067	19969	18866	13362	13438	25548	17913
ENSG00000011052	736	1031	778	712	745	806	438	977	755
ENSG00000011083	4	13	3	9	8	0	11	7	1
ENSG00000011105	2177	2444	1575	2077	1823	1485	1477	2385	1873
ENSG00000011114	1897	2073	1507	1819	2031	1418	1802	1737	1741
ENSG00000011132	339	521	246	373	404	252	246	554	337
ENSG00000011143	315	398	164	292	314	170	245	343	207
ENSG00000011198	799	803	523	795	706	590	763	685	583
ENSG00000011201	439	573	188	468	614	219	350	476	187
ENSG00000011243	1331	1491	1119	1382	1349	1030	889	1599	1331
ENSG00000011258	974	973	521	990	936	492	883	824	511
ENSG00000011260	1133	1302	961	1298	1163	975	1159	1071	871
ENSG00000011275	1999	2176	1715	2091	1952	1669	1792	2185	2090
ENSG00000011295	1153	1200	1208	1146	1142	1133	1138	1158	1184
ENSG00000011304	5836	8007	4320	6231	6691	4112	4732	7492	4792
ENSG00000011332	55	87	32	58	52	32	32	81	49
ENSG00000011347	129	187	36	107	130	44	91	170	37
ENSG00000011376	897	1087	692	864	943	683	759	1016	740
ENSG00000011405	3122	2956	2978	3341	2909	2905	3253	2434	3075
ENSG00000011422	1755	2252	1496	1814	1968	1337	1435	2386	1741
ENSG00000011426	4181	4987	1116	4119	4464	1098	3734	3842	990
ENSG00000011451	1522	2189	1701	1673	1650	1527	1053	2181	2085
ENSG00000011454	3612	3645	2914	3616	3601	2883	3508	3452	3198
ENSG00000011465	43837	27036	18455	44838	26480	18531	40907	24872	17942
ENSG00000011478	299	341	533	352	278	528	248	333	615
ENSG00000011485	1573	2218	1216	1672	1739	1181	1133	1974	1351
ENSG00000011523	798	901	482	902	891	491	737	848	559
ENSG00000011566	3699	3809	4091	3647	3602	4059	3427	3153	4213
ENSG00000011590	1	0	6	7	0	4	0	1	1
ENSG00000011600	0	0	0	0	0	0	0	0	0
ENSG00000011638	1685	1282	2136	1629	1076	1998	1515	1258	2121
ENSG00000011677	1	1	2	0	0	0	0	0	0
ENSG00000012048	602	612	271	623	544	282	535	564	351
ENSG00000012061	2313	3020	1597	2322	2561	1624	1732	2946	1837
ENSG00000012124	8	8	11	2	3	13	3	3	18
ENSG00000012171	1454	1331	819	1477	1152	807	948	1503	1000
ENSG00000012174	1951	1900	1678	2008	1789	1772	1754	1516	2037
ENSG00000012211	216	286	174	211	199	172	163	253	179
ENSG00000012223	6	1	7	1	1	1	6	1	13
